RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
1427.297	1466.735	128.370	1977.264	1010.101	52.678
1431.147	1461.260	138.218	1979.337	1008.735	54.870
1436.514	1454.972	149.315	1980.758	1007.276	56.899
1443.439	1447.594	161.608	1981.865	1006.171	58.551
1451.987	1438.578	175.039	1983.139	1005.574	59.890
1462.071	1427.578	189.163	1983.729	1005.197	60.424
1472.881	1414.171	203.862	1984.103	1004.967	60.901
1484.755	1399.016	219.502	1984.310	1004.795	61.167
1497.948	1381.948	235.388	1984.401	1004.490	61.276
1512.134	1362.877	251.067	1984.495	1004.362	61.334
1527.159	1342.527	266.374	1984.532	1004.264	61.412
1542.577	1321.321	280.756	1984.366	1004.071	61.252
1558.891	1300.018	294.255	1984.402	1003.991	61.359
1575.500	1280.308	305.153	1984.400	1003.895	61.408
1592.878	1262.209	313.799	1984.371	1003.804	61.474
1609.788	1245.467	320.392	1984.814	1004.130	61.872
1625.982	1229.406	324.690	1984.241	1003.591	61.684
1641.879	1213.706	326.887	1984.230	1003.443	61.932
1657.678	1197.575	326.996	1984.177	1003.310	62.125
1673.814	1180.947	325.351	1984.145	1003.154	62.360
1690.185	1163.501	321.916	1984.211	1003.104	62.616
1706.791	1145.094	316.777	1984.317	1003.057	62.880
1723.672	1125.885	310.037	1984.392	1002.946	63.109
1740.577	1105.885	301.948	1984.891	1003.178	63.652
1757.524	1084.981	292.404	1984.873	1003.075	63.817
1774.431	1063.163	281.648	1985.253	1003.208	64.431
1791.319	1040.165	269.782	1983.599	1003.045	63.198
1808.144	1016.048	256.801	1983.531	1003.026	63.374
1825.130	990.864	243.074	1983.414	1002.886	63.498
1842.728	965.383	228.958	1983.337	1002.775	63.664
1861.244	938.396	213.441	1982.917	1002.499	63.409
1878.993	909.870	198.410	1982.842	1002.407	63.561
1897.900	881.329	182.828	1984.174	1002.261	64.910
1915.735	846.229	169.012	1984.095	1002.132	65.062
1932.395	816.705	154.730	1984.036	1002.026	65.207
1950.888	783.435	141.016	1983.996	1001.898	65.426
1966.638	749.551	127.061	1983.916	1001.760	65.616
1981.799	714.590	113.642	1983.838	1001.578	65.765
1995.984	678.746	101.160	1983.791	1001.399	66.017
2011.152	642.062	91.356	1983.718	1001.203	66.220
2023.675	604.321	82.183	1983.679	1001.037	66.462
2036.204	567.398	74.947	1983.625	1000.872	66.719
2047.655	530.761	69.234	1983.609	1000.712	67.062
2058.749	495.420	65.294	1983.690	1000.572	67.478
2068.196	460.490	62.255	1983.750	1000.457	67.852
2076.913	427.091	60.371	1983.754	1000.237	68.248
2085.553	395.811	59.612	1983.753	999.978	68.750
2094.509	367.112	60.093	1983.748	999.647	69.467
2103.667	341.377	61.406	1984.005	999.240	70.821
2112.278	318.792	62.877	1984.414	998.781	72.468
2119.815	299.782	63.586	1984.851	998.210	74.620
2125.795	284.126	62.697	1985.463	997.517	77.093
2130.059	272.218	60.402	1986.517	996.910	80.239
2133.221	263.867	57.141	1987.756	996.090	83.982
2135.858	258.650	53.050	1989.336	995.074	88.596
2138.679	255.655	51.289	1991.066	993.703	93.730
